lat,lon, GPS ALTITUDE (m),gps_speed, GPS ACCURACY (m),gps_heading,GPS SATELLITES IN RANGE,time_ms, DATE (YYYY-MO-DD HH-MI-SS_SSS),accel_x,accel_y,accel_z, GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²),gyro_z,gyro_x,gyro_y, MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T),yaw,pitch,roll,blackout
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63022,2019-09-08 10:08:49:646,-1.3563,1.346,10.0599,0.0007,-0.0047,9.8066,0.0607,0.0899,-0.0252,-18.06,-27.12,1.19,296.08,-80.6,-143.96,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63122,2019-09-08 10:08:49:746,-0.5819,-0.0931,10.2264,-0.0059,-0.0048,9.8066,-0.0317,0.1517,-0.0269,-17.56,-27.81,0.88,296.31,-80.54,-143.18,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63222,2019-09-08 10:08:49:846,-0.9127,1.2213,10.1128,0.0077,-0.0088,9.8066,-0.0042,0.0142,0.0857,-17.69,-27.69,1.25,297.36,-80.5,-142.19,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63322,2019-09-08 10:08:49:946,-2.5663,0.8013,9.5926,0.0136,-0.0117,9.8065,0.0991,0.0853,0.0347,-17.75,-27.37,1.19,298.49,-80.37,-141.49,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63422,2019-09-08 10:08:50:046,-0.018,1.1982,9.9792,-0.0002,0.0045,9.8066,0.067,0.1055,-0.0224,-17.25,-27.37,1.25,297.64,-80.36,-141.63,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63521,2019-09-08 10:08:50:145,-1.4401,1.3691,9.9305,0.0016,0.0105,9.8066,-0.026,0.156,-0.0291,-17.19,-28.06,1.19,296.81,-80.41,-141.92,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63621,2019-09-08 10:08:50:245,-1.3872,1.3744,9.2828,-0.02,0.0092,9.8065,-0.0429,0.1373,-0.0194,-16.06,-27.25,1.63,300.08,-80.47,-142.67,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63721,2019-09-08 10:08:50:345,-0.7392,2.6517,9.6451,-0.0251,0.003,9.8066,0.0838,0.109,0.0239,-16.19,-27.87,1.88,299.75,-80.69,-142.79,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63822,2019-09-08 10:08:50:446,-0.9048,1.7324,9.5432,0.0143,-0.0042,9.8066,0.1025,0.1647,0.0083,-16.06,-27.5,2.13,300.22,-80.76,-143.01,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,63921,2019-09-08 10:08:50:545,-0.5967,1.4827,10.0413,0.0167,-0.0128,9.8066,-0.0314,0.2234,-0.0706,-15.81,-28.37,1.69,299.92,-80.75,-142.74,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,64022,2019-09-08 10:08:50:646,-0.3109,1.5611,9.1402,0.0227,-0.0094,9.8065,-0.0234,0.1541,-0.0117,-15.12,-28.06,2.0,299.77,-80.62,-142.17,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,64121,2019-09-08 10:08:50:745,-1.0107,2.1181,9.8616,-0.0098,-0.0011,9.8066,0.0257,0.1278,0.0309,-15.12,-27.87,1.63,300.24,-80.59,-141.71,False
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,64221,2019-09-08 10:08:50:845,0.4565,2.7124,9.3718,0.002,-0.007,9.8066,-0.0072,0.2012,0.0388,-15.44,-28.12,2.56,305.82,-80.56,-140.89,False
