lat,lon, GPS ALTITUDE (m),gps_speed, GPS ACCURACY (m),gps_heading,GPS SATELLITES IN RANGE,time_ms, DATE (YYYY-MO-DD HH-MI-SS_SSS),accel_x,accel_y,accel_z, GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²),gyro_z,gyro_x,gyro_y, MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T),yaw,pitch,roll,blackout
52.406345,-1.49406,132.7,7.35,3,71.72,17 / 17,91421,2019-09-04 19:22:51:594,2.1639,-0.3928,9.3034,0.0286,-0.0046,9.8066,0.0932,0.0159,-0.032,-22.75,-29.12,3.56,347.58,-85.59,-111.07,False
52.406345,-1.49406,132.7,7.35,3,71.72,17 / 17,91520,2019-09-04 19:22:51:693,2.4059,-0.0773,9.7491,0.0183,0.0115,9.8066,0.021,0.0579,-0.0314,-22.31,-29.31,4.06,343.16,-85.56,-115.43,False
52.406345,-1.49406,132.7,7.35,3,71.72,17 / 17,91620,2019-09-04 19:22:51:793,1.8212,0.7918,9.8783,-0.0025,0.0092,9.8066,-0.0149,0.0494,-0.0335,-23.5,-29.06,3.69,340.19,-85.64,-117.79,False
52.406345,-1.49406,132.7,7.35,3,71.72,17 / 17,91720,2019-09-04 19:22:51:893,1.6968,0.4596,9.5865,-0.0079,-0.0009,9.8066,-0.0078,0.0353,-0.0241,-23.06,-29.5,2.69,338.64,-85.74,-116.8,False
52.406345,-1.49406,132.7,7.35,3,71.72,17 / 17,91820,2019-09-04 19:22:51:993,1.6265,0.6187,9.5487,-0.0032,0.0053,9.8065,-0.0041,0.053,-0.0217,-23.5,-29.94,3.56,342.46,-85.81,-115.74,False
52.406345,-1.49406,132.7,7.35,3,71.72,17 / 17,91921,2019-09-04 19:22:52:094,1.7607,0.6514,9.3811,-0.0166,0.001,9.8065,-0.0429,0.0751,-0.0066,-23.56,-30.31,2.81,340.56,-85.85,-114.8,False
52.406345,-1.49406,132.7,7.35,3,71.72,17 / 17,92021,2019-09-04 19:22:52:194,1.2975,0.2105,9.5463,-0.0226,0.002,9.8066,-0.0564,0.082,-0.006,-24.25,-30.12,3.75,348.3,-85.97,-110.13,False
52.406345,-1.49406,132.7,7.35,3,71.72,17 / 17,92121,2019-09-04 19:22:52:294,0.9838,0.8317,10.2099,-0.0245,0.0071,9.8065,-0.0256,0.0937,-0.0094,-23.44,-29.94,3.63,352.85,-86.11,-106.38,False
52.406345,-1.49406,132.7,7.35,3,71.72,17 / 17,92221,2019-09-04 19:22:52:394,1.1443,0.3999,10.1922,0.0009,0.0062,9.8066,0.0286,0.0672,-0.0364,-23.0,-29.62,4.31,355.44,-86.18,-104.03,False
52.406345,-1.49406,132.7,7.35,3,71.72,16 / 17,92320,2019-09-04 19:22:52:493,1.3262,0.3833,9.0849,0.0181,-0.0025,9.8065,0.0364,0.1309,0.0325,-23.06,-29.87,3.94,352.13,-86.27,-107.06,False
52.406345,-1.49406,132.7,7.35,3,71.72,16 / 17,92421,2019-09-04 19:22:52:594,1.4894,0.0389,9.5033,0.0007,0.0018,9.8066,-0.009,0.0723,-0.0439,-22.31,-28.75,3.94,349.93,-86.21,-109.5,False
52.406345,-1.49406,132.7,7.35,3,71.72,16 / 17,92520,2019-09-04 19:22:52:693,0.8419,1.0954,9.7726,-0.0228,0.014,9.8066,-0.0598,0.0698,-0.0507,-22.69,-29.25,3.25,348.84,-86.38,-107.69,False
52.406345,-1.49406,132.7,7.35,3,71.72,16 / 17,92620,2019-09-04 19:22:52:793,0.3588,0.8458,10.1376,-0.0166,0.0086,9.8066,-0.0183,0.0775,-0.0235,-22.0,-28.44,2.31,352.43,-86.63,-102.19,False
52.406345,-1.49406,132.7,7.35,3,71.72,16 / 17,92721,2019-09-04 19:22:52:894,0.9128,0.7282,10.1977,0.0141,0.003,9.8066,0.0429,0.1092,0.0078,-22.06,-28.37,2.69,354.59,-86.73,-102.78,False
52.406345,-1.49406,132.7,7.35,3,71.72,16 / 17,92821,2019-09-04 19:22:52:994,1.1159,0.5553,9.9702,0.0148,-0.0024,9.8066,0.0271,0.1051,0.0169,-21.37,-28.31,1.56,348.37,-86.73,-106.18,False
52.406345,-1.49406,132.7,7.35,3,71.72,16 / 17,92921,2019-09-04 19:22:53:094,1.1877,1.204,9.6854,-0.0044,0.0037,9.8066,-0.0033,0.0297,-0.0439,-21.5,-29.44,1.44,342.18,-86.71,-109.13,False
52.406345,-1.49406,132.7,7.35,3,71.72,16 / 17,93020,2019-09-04 19:22:53:193,0.772,0.9425,9.781,-0.0069,0.0029,9.8066,-0.011,0.0752,-0.0028,-21.37,-29.37,1.31,343.69,-86.81,-107.78,False
52.406345,-1.49406,132.7,7.35,3,71.72,16 / 17,93120,2019-09-04 19:22:53:293,0.7629,0.9684,10.0081,0.0061,0.0079,9.8066,0.0142,0.0799,-0.011,-21.87,-29.31,1.19,343.29,-86.84,-108.09,False
